"PlayerCharacter","","","","","","","","","","","","","","","","","","",""
"ID","名前","GridSize","所持Skill","HP","MP","物理攻撃力","魔術攻撃力","物理防御力","魔術防御","速度","会心率","会心ダメージ増加量","HPの成長率","MPの成長率","ATKの成長率","M_ATKの成長率","P_DEFの成長率","M_DEFの成長率","SPEEDの成長率"
"1","SwordStyle","1","0","45","20","20","20","17","17","20","30","20","10","10","10","10","10","10","10"
"EnemyCharacter","","","","","","","","","","","","","","","","","","",""
"ID","名前","GridSize","所持Skill","HP","MP","物理攻撃力","魔術攻撃力","物理防御力","魔術防御","速度","会心率","会心ダメージ増加量","HPの成長率","MPの成長率","ATKの成長率","M_ATKの成長率","P_DEFの成長率","M_DEFの成長率","SPEEDの成長率"
"2","スライム","1","2","20","15","8","15","10","15","10","5","120","10","20","5","20","5","5","15"
"3","わんこナイト","1","2","40","5","20","10","20","10","20","40","40","10","5","20","10","15","10","10"
"4","ミノタウロス","1","3","60","10","30","10","25","25","18","30","20","10","10","10","10","10","10","10"
"5","レッドゴレム","2","3","150","0","60","0","50","10","10","0","0","10","10","10","10","10","10","10"
"6","グリーンドラゴン","3","4","200","100","50","55","30","20","19","25","25","8","10","8","8","8","8","8"
